Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
INN25630,2,1,2,1,Meal Plan 1,0,Room_Type 1,26,2017,10,17,Online,0,0,0,161.0,0,Not_Canceled
INN14474,2,1,1,1,Meal Plan 1,0,Room_Type 1,98,2018,7,16,Online,0,0,0,121.5,2,Not_Canceled
INN23721,2,0,0,3,Meal Plan 1,0,Room_Type 1,433,2018,9,8,Offline,0,0,0,70.0,0,Canceled
INN05844,2,0,2,5,Meal Plan 1,0,Room_Type 1,195,2018,8,8,Offline,0,0,0,72.25,0,Not_Canceled
INN18710,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,2018,6,15,Offline,0,0,0,130.0,0,Canceled
INN07412,2,1,0,3,Meal Plan 1,0,Room_Type 1,74,2018,4,6,Online,0,0,0,112.5,1,Canceled
INN22966,2,0,1,2,Meal Plan 1,0,Room_Type 1,273,2018,5,13,Offline,0,0,0,95.0,0,Canceled
INN25678,2,0,1,3,Not Selected,0,Room_Type 1,6,2018,12,15,Online,0,0,0,66.3,0,Not_Canceled
INN33712,2,0,2,5,Meal Plan 1,0,Room_Type 1,89,2018,3,21,Online,0,0,0,83.66,1,Not_Canceled
INN20728,2,2,2,0,Meal Plan 1,0,Room_Type 6,56,2018,3,20,Online,0,0,0,180.0,1,Canceled
INN06177,2,0,1,5,Meal Plan 1,1,Room_Type 1,103,2018,7,12,Online,0,0,0,114.3,1,Not_Canceled
INN08935,1,0,4,11,Meal Plan 1,0,Room_Type 1,155,2018,8,30,Online,0,0,0,117.42,0,Canceled
INN06713,2,0,0,1,Meal Plan 1,0,Room_Type 5,3,2018,6,11,Online,0,0,0,128.8,0,Not_Canceled
INN19753,1,0,1,2,Meal Plan 1,0,Room_Type 1,180,2018,10,10,Offline,0,0,0,120.0,0,Canceled
INN21524,2,0,0,4,Meal Plan 1,0,Room_Type 1,92,2018,7,12,Online,0,0,0,89.85,2,Not_Canceled
INN21650,2,0,0,2,Meal Plan 2,0,Room_Type 1,56,2017,9,17,Offline,0,0,0,82.0,0,Not_Canceled
INN07135,2,0,0,3,Meal Plan 1,0,Room_Type 1,279,2018,10,12,Online,0,0,0,110.0,0,Canceled
INN31510,2,0,0,2,Meal Plan 1,0,Room_Type 1,134,2018,8,10,Online,0,0,0,114.3,1,Not_Canceled
INN02605,2,0,0,2,Not Selected,0,Room_Type 1,8,2018,3,25,Online,0,0,0,139.0,1,Not_Canceled
INN15870,3,0,2,2,Meal Plan 1,0,Room_Type 4,10,2018,4,29,Online,0,0,0,172.0,2,Not_Canceled
INN11829,2,0,2,0,Meal Plan 1,0,Room_Type 1,2,2018,8,21,Online,0,0,0,148.0,1,Not_Canceled
INN29923,2,0,1,2,Not Selected,0,Room_Type 1,52,2018,2,26,Online,0,0,0,79.5,1,Canceled
INN08319,1,0,2,1,Meal Plan 1,0,Room_Type 1,116,2018,2,28,Offline,0,0,0,61.0,0,Canceled
INN04660,2,2,0,2,Meal Plan 1,0,Room_Type 6,89,2018,7,21,Online,0,0,0,186.3,0,Canceled
INN05569,2,0,1,2,Meal Plan 1,0,Room_Type 1,193,2018,6,20,Online,0,0,0,120.0,0,Canceled
INN08460,2,0,0,1,Meal Plan 1,0,Room_Type 1,92,2018,11,11,Offline,0,0,0,90.0,0,Not_Canceled
INN05935,2,1,2,3,Meal Plan 1,0,Room_Type 1,95,2018,7,1,Online,0,0,0,130.5,1,Not_Canceled
INN08597,2,1,1,3,Meal Plan 1,0,Room_Type 1,6,2018,2,4,Online,0,0,0,109.0,1,Canceled
INN33986,2,0,1,2,Meal Plan 1,0,Room_Type 4,60,2018,4,1,Online,0,0,0,106.2,1,Not_Canceled
INN11598,2,0,2,2,Meal Plan 1,0,Room_Type 1,359,2018,9,16,Online,0,0,0,105.0,1,Canceled
INN32362,2,0,0,4,Meal Plan 1,0,Room_Type 1,67,2018,11,23,Online,0,0,0,88.4,2,Canceled
INN16793,2,1,1,4,Meal Plan 1,0,Room_Type 1,177,2018,8,3,Online,0,0,0,123.75,0,Canceled
INN25331,2,0,1,5,Not Selected,0,Room_Type 1,101,2018,4,12,Online,0,0,0,54.06,0,Not_Canceled
INN01599,1,0,0,1,Meal Plan 1,0,Room_Type 1,15,2018,2,19,Corporate,0,0,0,80.0,0,Not_Canceled
INN35682,1,0,0,1,Meal Plan 1,0,Room_Type 1,30,2018,8,31,Online,0,0,0,94.2,0,Not_Canceled
INN07925,2,0,2,2,Meal Plan 1,0,Room_Type 1,89,2018,5,8,Online,0,0,0,128.85,0,Not_Canceled
INN13401,2,0,0,4,Meal Plan 1,0,Room_Type 1,21,2017,9,29,Online,0,0,0,133.5,0,Canceled
INN32355,2,0,2,4,Meal Plan 1,0,Room_Type 1,6,2017,8,5,Offline,0,0,0,70.0,0,Not_Canceled
INN10945,2,0,1,3,Meal Plan 1,0,Room_Type 1,135,2018,6,16,Online,0,0,0,119.85,2,Not_Canceled
INN16526,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,3,2,Online,0,0,0,0.0,0,Not_Canceled
INN34901,2,0,1,3,Meal Plan 1,0,Room_Type 1,37,2017,9,21,Online,0,0,0,145.8,2,Not_Canceled
INN07956,2,0,2,5,Meal Plan 1,0,Room_Type 1,45,2018,11,7,Offline,0,0,0,75.0,1,Not_Canceled
INN25585,2,0,2,3,Meal Plan 1,0,Room_Type 1,168,2018,8,12,Offline,0,0,0,72.25,2,Not_Canceled
INN17548,2,0,2,3,Meal Plan 1,0,Room_Type 1,143,2018,6,2,Online,0,0,0,100.3,0,Canceled
INN15662,1,0,0,1,Meal Plan 1,0,Room_Type 1,25,2018,11,29,Online,0,0,0,75.2,0,Not_Canceled
INN05666,2,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Online,0,0,0,101.5,0,Canceled
INN13535,2,1,2,2,Meal Plan 1,0,Room_Type 1,4,2017,12,5,Offline,0,0,0,81.6,2,Not_Canceled
INN33360,2,0,1,3,Not Selected,0,Room_Type 1,108,2018,10,17,Online,0,0,0,108.0,2,Not_Canceled
INN02133,1,0,0,1,Meal Plan 1,0,Room_Type 1,8,2018,7,28,Corporate,1,1,17,65.0,1,Not_Canceled
INN18974,2,0,2,2,Meal Plan 1,0,Room_Type 1,56,2017,9,25,Offline,0,0,0,185.0,0,Not_Canceled
INN13372,2,2,0,1,Meal Plan 1,0,Room_Type 6,12,2018,8,19,Online,0,0,0,220.0,0,Canceled
INN19993,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2017,8,23,Online,0,0,0,80.0,0,Not_Canceled
INN11388,2,0,2,1,Meal Plan 1,0,Room_Type 1,37,2018,10,30,Offline,0,0,0,75.0,1,Not_Canceled
INN22553,3,0,1,1,Meal Plan 1,0,Room_Type 4,0,2018,5,9,Online,0,0,0,158.0,0,Not_Canceled
INN13506,1,0,0,2,Meal Plan 2,0,Room_Type 1,39,2017,8,14,Offline,0,0,0,87.0,0,Not_Canceled
INN09683,2,0,0,1,Meal Plan 1,1,Room_Type 6,36,2018,4,8,Online,0,0,0,103.95,0,Not_Canceled
INN31252,2,1,0,5,Meal Plan 1,0,Room_Type 5,63,2018,7,26,Offline,0,0,0,131.75,2,Not_Canceled
INN03931,0,2,2,2,Meal Plan 1,0,Room_Type 2,87,2018,5,29,Online,0,0,0,112.01,1,Not_Canceled
INN01896,2,0,1,2,Meal Plan 1,0,Room_Type 1,58,2017,11,13,Online,0,0,0,79.2,1,Not_Canceled
INN09536,2,0,0,2,Meal Plan 1,0,Room_Type 1,301,2018,11,18,Offline,0,0,0,52.0,0,Canceled
INN01809,2,0,0,2,Meal Plan 2,0,Room_Type 1,346,2018,9,13,Online,0,0,0,115.0,1,Canceled
INN19053,1,0,0,1,Meal Plan 1,0,Room_Type 1,361,2018,11,4,Online,1,1,0,91.0,0,Canceled
INN34904,1,0,1,0,Meal Plan 1,1,Room_Type 1,3,2018,6,6,Corporate,1,0,3,65.0,0,Not_Canceled
INN31661,2,0,0,4,Meal Plan 1,0,Room_Type 1,49,2017,12,30,Offline,0,0,0,71.0,0,Not_Canceled
INN25688,1,0,0,1,Meal Plan 1,0,Room_Type 1,19,2018,5,7,Online,0,0,0,135.0,0,Not_Canceled
INN27330,2,0,0,2,Meal Plan 2,0,Room_Type 1,74,2017,9,18,Offline,0,0,0,101.5,0,Not_Canceled
INN00629,2,0,0,3,Not Selected,0,Room_Type 1,34,2018,6,14,Online,0,0,0,107.1,1,Not_Canceled
INN34082,2,0,1,4,Meal Plan 1,0,Room_Type 1,73,2018,3,16,Online,0,0,0,79.05,1,Canceled
INN24739,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,11,25,Corporate,0,0,0,67.0,0,Not_Canceled
INN14655,2,0,0,2,Meal Plan 1,0,Room_Type 1,94,2018,4,12,Online,0,0,0,96.3,1,Not_Canceled
INN21507,2,0,1,4,Meal Plan 1,0,Room_Type 1,134,2018,5,9,Online,0,0,0,76.58,1,Not_Canceled
INN08476,1,0,1,0,Meal Plan 1,0,Room_Type 1,1,2018,1,18,Online,0,0,0,80.0,0,Not_Canceled
INN02267,2,0,0,1,Meal Plan 1,0,Room_Type 4,75,2018,7,30,Online,0,0,0,127.8,1,Not_Canceled
INN11049,2,0,0,4,Meal Plan 2,0,Room_Type 1,100,2018,9,28,Offline,0,0,0,140.0,1,Not_Canceled
INN06273,2,0,1,1,Not Selected,0,Room_Type 1,91,2018,6,18,Online,0,0,0,116.1,0,Canceled
INN09058,2,0,0,3,Meal Plan 1,0,Room_Type 1,22,2018,10,11,Offline,0,0,0,95.0,0,Not_Canceled
INN34653,2,0,1,1,Meal Plan 1,0,Room_Type 6,13,2017,8,24,Online,0,0,0,153.0,0,Not_Canceled
INN21203,1,0,0,2,Meal Plan 1,0,Room_Type 1,32,2017,11,20,Offline,0,0,0,73.0,0,Not_Canceled
INN23145,2,0,0,3,Meal Plan 1,0,Room_Type 1,63,2018,6,9,Online,0,0,0,126.9,1,Canceled
INN26962,3,0,1,3,Meal Plan 1,0,Room_Type 1,26,2018,9,5,Online,0,0,0,127.2,0,Canceled
INN01891,2,0,0,4,Meal Plan 2,0,Room_Type 1,296,2018,9,21,Online,0,0,0,117.0,1,Canceled
INN07221,1,0,0,1,Meal Plan 1,0,Room_Type 1,8,2018,4,5,Online,0,0,0,95.0,0,Canceled
INN23161,2,0,2,1,Meal Plan 1,0,Room_Type 1,7,2018,8,13,Online,0,0,0,130.67,0,Canceled
INN29729,2,0,0,2,Meal Plan 1,0,Room_Type 1,263,2018,10,21,Offline,0,0,0,110.0,0,Canceled
INN11390,2,0,0,5,Meal Plan 1,0,Room_Type 1,140,2017,12,29,Offline,0,0,0,70.0,0,Not_Canceled
INN24096,2,0,2,1,Meal Plan 2,0,Room_Type 1,131,2017,8,15,Offline,0,0,0,94.5,0,Not_Canceled
INN19618,3,0,0,3,Meal Plan 1,0,Room_Type 1,6,2018,3,3,Online,0,0,0,137.0,0,Canceled
INN11837,2,0,0,2,Meal Plan 1,1,Room_Type 1,219,2018,9,13,Online,0,0,0,145.1,1,Canceled
INN30815,1,0,1,1,Not Selected,0,Room_Type 1,19,2018,7,18,Offline,0,0,0,75.0,0,Not_Canceled
INN11243,3,0,0,2,Meal Plan 1,0,Room_Type 1,16,2017,10,1,Online,0,0,0,142.0,4,Not_Canceled
INN20748,1,0,0,2,Meal Plan 1,0,Room_Type 1,57,2018,9,16,Offline,0,0,0,75.0,0,Not_Canceled
INN28487,2,0,1,2,Meal Plan 1,0,Room_Type 1,7,2017,9,14,Online,0,0,0,152.0,1,Not_Canceled
INN06254,1,0,0,1,Meal Plan 1,1,Room_Type 1,18,2018,10,18,Corporate,1,0,10,65.0,1,Not_Canceled
INN14019,2,0,2,5,Meal Plan 1,0,Room_Type 1,31,2018,11,14,Online,0,0,0,64.67,1,Not_Canceled
INN14066,2,0,2,1,Meal Plan 1,0,Room_Type 1,6,2018,8,28,Offline,0,0,0,85.0,0,Not_Canceled
INN00580,2,0,1,4,Meal Plan 1,0,Room_Type 1,148,2017,12,30,Offline,0,0,0,67.0,0,Not_Canceled
INN15962,2,0,0,3,Not Selected,0,Room_Type 1,63,2018,11,10,Online,0,0,0,118.33,3,Not_Canceled
INN28110,2,0,0,3,Meal Plan 1,0,Room_Type 2,178,2018,8,23,Online,0,0,0,94.62,0,Canceled
INN09304,1,0,0,4,Meal Plan 1,0,Room_Type 1,151,2018,1,19,Offline,0,0,0,71.0,0,Not_Canceled
INN30213,2,0,1,3,Meal Plan 1,0,Room_Type 1,93,2017,12,3,Online,0,0,0,72.25,2,Not_Canceled
INN21162,1,0,0,2,Meal Plan 1,0,Room_Type 1,102,2018,12,6,Online,0,0,0,86.4,2,Canceled
INN28890,2,0,2,3,Meal Plan 1,0,Room_Type 1,167,2018,8,4,Offline,0,0,0,72.25,1,Not_Canceled
INN15932,2,0,2,1,Meal Plan 1,0,Room_Type 1,57,2018,10,30,Online,0,0,0,103.8,1,Not_Canceled
INN11199,2,0,0,2,Meal Plan 1,0,Room_Type 2,181,2017,8,6,Online,0,0,0,76.5,2,Canceled
INN09725,2,0,2,5,Meal Plan 1,0,Room_Type 1,245,2018,9,22,Online,0,0,0,107.59,0,Canceled
INN04336,2,0,0,2,Meal Plan 1,0,Room_Type 1,49,2018,6,3,Offline,0,0,0,80.75,0,Not_Canceled
INN18652,1,0,0,3,Meal Plan 1,0,Room_Type 1,71,2018,6,14,Offline,0,0,0,120.0,0,Not_Canceled
INN23921,2,0,0,3,Meal Plan 1,0,Room_Type 1,44,2018,2,17,Offline,0,0,0,75.0,0,Not_Canceled
INN22697,2,0,2,3,Not Selected,0,Room_Type 1,2,2018,6,26,Offline,0,0,0,63.75,0,Not_Canceled
INN32957,2,1,2,5,Meal Plan 1,0,Room_Type 1,147,2018,6,28,Online,0,0,0,106.25,2,Not_Canceled
INN15141,2,0,0,1,Meal Plan 1,0,Room_Type 4,0,2018,5,19,Online,0,0,0,223.0,0,Canceled
INN31098,2,0,0,2,Not Selected,0,Room_Type 1,44,2018,2,12,Online,0,0,0,67.5,0,Canceled
INN04795,2,0,2,2,Meal Plan 1,0,Room_Type 1,116,2018,3,25,Online,0,0,0,59.5,0,Canceled
INN03526,2,0,2,1,Meal Plan 1,0,Room_Type 4,11,2018,5,8,Online,0,0,0,126.0,1,Not_Canceled
INN31414,2,0,0,1,Meal Plan 1,0,Room_Type 1,129,2018,8,6,Online,0,0,0,114.3,1,Not_Canceled
INN02391,2,0,2,5,Meal Plan 1,0,Room_Type 2,13,2017,8,27,Online,0,0,0,85.29,1,Canceled
INN23101,2,0,2,2,Meal Plan 1,0,Room_Type 1,186,2018,9,2,Offline,0,0,0,80.75,0,Not_Canceled
